,title,artist/s,danceability,key,loudness,speechiness,liveness,valence,tempo,duration_ms,music_label,artist_collab,chart_history,mean_trends,stream1,stream2,stream3,stream4,stream5,stream6,stream7,stream8,stream9,song_familiarity,artist_familiarity,bad_good,distasteful_tasty,dull_exciting,tasteless_tasteful,unimaginative_creative,untalented_talented,unpleasant_pleasant,forgettable_memorable,boring_interesting,listen_similar,share_friends,add_playlist,stream_category
16,Ikaw Lang,NOBITA,0.513,11.0,-11.091,0.0336,0.0924,0.323,120.952,263500.0,1,0,72.0,24.193548387096776,9,9,9,9,9,10,9,9,9,5.05,5.25,6.05,6.15,5.8,5.95,5.8,6.2,6.15,5.75,5.7,5.9,5.35,5.8,9
18,Die For You,Joji,0.472,8.0,-7.379,0.051,0.289,0.154,147.805,211667.0,5,0,72.0,33.483870967741936,9,9,9,9,9,8,7,7,7,6.0,5.2,5.5,5.3,4.75,5.2,4.85,5.7,5.85,5.7,5.05,4.95,4.6,4.6,7
20,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",0.881,2.0,-4.898,0.0324,0.0901,0.719,101.058,154487.0,10,1,72.0,9.806451612903226,9,9,9,9,9,9,9,7,7,4.25,4.9,5.75,5.5,5.3,5.6,5.4,6.0,6.05,4.9,5.2,4.85,4.8,4.75,7
22,THE SHADE,Rex Orange County,0.898,5.0,-7.973,0.062,0.0876,0.727,119.869,181507.0,1,0,72.0,16.56451612903226,9,9,9,9,9,9,9,9,9,2.35,1.3,5.6,5.55,4.5,5.7,5.2,5.8,5.9,4.35,5.5,5.6,4.9,5.0,9
23,Isa lang,Arthur Nery,0.429,6.0,-8.445,0.0719,0.0846,0.375,121.17,269256.0,10,0,72.0,38.564516129032256,9,9,9,9,9,9,9,9,9,3.75,2.2,4.95,4.6,4.55,4.7,5.15,5.05,4.85,4.3,4.5,3.7,3.8,3.65,9
25,City Girl,Shanti Dope,0.684,0.0,-9.995,0.0401,0.113,0.247,127.026,188976.0,10,0,72.0,18.14516129032258,9,9,9,9,9,9,9,9,9,5.85,6.2,5.8,5.25,5.75,5.4,5.35,5.4,5.85,5.75,5.3,4.95,4.3,4.3,9
27,Paraluman,Adie,0.519,5.0,-13.85,0.0396,0.0946,0.108,90.121,312320.0,1,0,72.0,23.33870967741936,9,9,9,9,9,9,9,9,9,1.85,3.75,3.85,3.55,3.65,3.75,3.5,4.25,3.7,2.75,3.5,3.15,2.7,2.75,9
28,Nobody Gets Me,SZA,0.358,7.0,-8.285,0.0285,0.183,0.276,99.796,180853.0,1,0,72.0,48.45161290322581,9,9,9,9,9,9,9,9,9,5.1,4.2,5.7,5.4,4.4,5.4,5.0,5.6,5.85,5.15,5.1,5.25,4.8,5.2,9
29,Pano,Zack Tabudlo,0.375,3.0,-7.018,0.0315,0.191,0.415,174.839,254400.0,10,0,72.0,23.61290322580645,9,9,9,9,9,9,9,9,9,4.6,2.7,5.8,5.9,4.85,5.5,5.15,5.75,6.0,5.15,5.15,5.6,4.75,5.2,9
32,Angel Baby,Troye Sivan,0.559,11.0,-6.425,0.0358,0.138,0.338,72.498,220780.0,10,0,72.0,6.145161290322581,9,9,8,9,8,8,8,7,7,4.85,3.2,5.65,5.55,4.95,5.75,5.6,5.85,6.0,5.35,5.35,5.35,5.0,5.2,7
33,Tahanan,Adie,0.394,3.0,-10.855,0.031,0.315,0.3,109.862,293727.0,1,0,72.0,23.33870967741936,9,8,8,9,9,9,9,9,9,3.45,5.1,4.9,4.5,4.35,4.4,4.95,5.4,4.85,4.2,4.2,4.5,3.7,3.65,9
34,Glimpse of Us,Joji,0.44,8.0,-9.258,0.0531,0.141,0.268,169.914,233456.0,5,0,72.0,33.483870967741936,9,9,9,9,8,8,7,7,6,5.0,6.2,5.95,5.9,5.05,5.85,5.45,6.0,5.95,5.2,5.5,5.55,4.6,4.6,6
37,Pagsamo,Arthur Nery,0.644,6.0,-9.382,0.0339,0.0962,0.356,60.001,297002.0,10,0,72.0,38.564516129032256,8,9,8,9,9,9,8,8,8,2.05,1.65,5.65,5.75,5.65,5.65,5.5,5.45,5.95,4.95,5.5,5.25,4.9,4.95,9
41,Kumpas - Theme of “2 Good 2 Be True”,Moira Dela Torre,0.545,5.0,-11.001,0.03,0.0944,0.349,124.022,268124.0,10,0,72.0,35.45161290322581,8,8,7,7,8,8,7,6,6,4.65,5.5,5.8,5.5,5.0,5.4,5.5,5.7,6.0,5.4,5.45,5.3,5.05,5.2,6
42,Shirt,SZA,0.848,3.0,-7.72,0.102,0.0879,0.572,120.009,181840.0,1,0,72.0,48.45161290322581,8,9,9,9,6,6,5,5,5,3.3,4.95,5.8,5.55,5.3,5.6,5.45,6.05,5.8,5.05,5.2,5.3,5.2,4.9,4
47,double take,dhruv,0.656,8.0,-11.141,0.0744,0.221,0.196,109.239,171743.0,1,0,72.0,10.0,7,8,7,9,8,8,8,8,9,5.55,5.05,5.8,5.7,5.2,5.7,5.1,5.75,5.9,5.35,5.1,5.5,4.9,5.25,9
48,Yakap,Zack Tabudlo,0.738,8.0,-8.437,0.0334,0.107,0.547,113.979,178947.0,10,0,72.0,23.61290322580645,7,7,8,9,9,9,9,9,9,3.4,2.0,6.1,5.85,5.4,5.65,5.55,6.0,6.05,5.3,5.6,5.4,5.1,5.3,9
49,Shut Down,BLACKPINK,0.813,0.0,-6.447,0.0372,0.183,0.651,110.053,175889.0,10,0,72.0,56.04838709677419,7,7,6,6,6,6,6,5,4,4.2,4.2,5.8,5.7,5.3,5.55,5.45,5.95,6.15,5.2,5.1,5.4,4.95,5.15,4
